date,spd,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,P_batt_W,P_mech_waste_W,t_s,v_ms,a_smooth,decel_g
2022-09-04 13:03:46+00:00,7.813132365,,,,,139.6603893601048,0.0,2698.0,2.1703145458333335,0.37608728729166674,-0.0383371342804961
2022-09-04 13:03:48+00:00,9.702515281,,,,,148.57247699689785,0.0,2700.0,2.695143133611111,0.3105914300694445,-0.03166069623541738
2022-09-04 13:03:50+00:00,11.53593612,,,,,181.45689879875104,0.0,2702.0,3.2044267,0.3143930007870371,-0.03204821618624231
2022-09-04 13:03:52+00:00,13.71196264,,,,,257.5928876968888,0.0,2704.0,3.8088785111111108,0.37791261803240755,-0.0385232026536603
2022-09-04 13:03:54+00:00,17.38546264,,,,,322.4182955369662,0.0,2706.0,4.8292951777777775,0.35457134467592605,-0.03614386795880999
2022-09-04 13:03:56+00:00,20.17881386,,,,,287.87424686937067,0.0,2708.0,5.605226072222223,0.23751001875000002,-0.024211011085626913
2022-09-04 13:03:58+00:00,20.38656699,,,,,201.59014981330438,0.0,2710.0,5.662935275,0.13305005694444438,-0.013562696936232863
2022-09-04 13:04:00+00:00,20.9712911,,,,,181.30334082401092,0.0,2712.0,5.825358638888888,0.10001838981481481,-0.010195554517310378
2022-09-04 13:04:02+00:00,22.34074786,,,,,160.6941137456639,0.0,2714.0,6.205763294444444,0.05661941712962985,-0.0057716021538868345
2022-09-04 13:04:04+00:00,22.54542743,,,,,64.46140468334202,0.0,2716.0,6.262618730555555,-0.04691914259259241,0.004782787216370276
2022-09-04 13:04:06+00:00,21.25838948,,,,,7.352132550745156,0.0,2718.0,5.90510818888889,-0.09742244074074069,0.00993093177785328
2022-09-04 13:04:08+00:00,20.02674252,,,,,37.95592222896188,0.0,2720.0,5.562984033333333,-0.053047714814814816,0.005407514252274701
2022-09-04 13:04:10+00:00,20.65078333,,,,,108.39693697552664,0.0,2722.0,5.736328702777778,0.022053408564814896,-0.002248053880205392
2022-09-04 13:04:12+00:00,20.8613723,,,,,145.25403401897273,0.0,2724.0,5.794825638888889,0.061084047222222417,-0.006226712255068543
